sale,name,brand,base_price,weight,type,category,gender,ground_type,stability,drop,rating,1_star,2_star,3_star,4_star,5_star,review_count,is_recommended,news,sole_details,upper,material,utilisation,care_instructions,description
0,Graspifier Homme,Vibram fivefingers,120.0,81,chaussures minimalistes,fitness,homme,salle,guidée,0,3.5,1,1,0,2,2,6,60,True,,,Caoutchouc Vibram EcoStep avec 30 % de contenu Vibram recyclé.,"Idéal pour l'entraînement en musculation et les routines en salle, où l'attention est portée sur l'équilibre et la sensation au sol.",Lavage en machine à froid / Séchage à l'air libre,"La tige synthétique respirante et extensible de la Graspifier épouse véritablement le pied comme un gant, tandis que la semelle Max-Feel segmentée offre une excellente sensation au sol et une bonne articulation du pied, avec un équilibre optimal entre traction et durabilité. Notre caoutchouc Vibram EcoStep avec 30 % de contenu Vibram recyclé offre adhérence et traction, reconnaissant ainsi notre engagement envers la durabilité du produit. Épaisseur totale de la semelle : 5 mm"
0,Graspifier Femme,Vibram fivefingers,120.0,65,chaussures minimalistes,fitness,femme,salle,guidée,0,5.0,0,0,0,0,1,1,100,False,,,Caoutchouc Vibram EcoStep avec 30 % de contenu Vibram recyclé.,"Idéal pour l'entraînement en musculation et les routines en salle, où l'attention est portée sur l'équilibre et la sensation au sol.",Lavage en machine à froid / Séchage à l'air libre,"La tige synthétique respirante et extensible de la Graspifier épouse véritablement le pied comme un gant, tandis que la semelle Max-Feel segmentée offre une excellente sensation au sol et une bonne articulation du pied, avec un équilibre optimal entre traction et durabilité. Notre caoutchouc Vibram EcoStep avec 30 % de contenu Vibram recyclé offre adhérence et traction, reconnaissant ainsi notre engagement envers la durabilité du produit. Épaisseur totale de la semelle : 5 mm"
